instance,variant,run,seed,value,weight,feasible,seconds,items
p03,AS,17,987654338,150,190,1,0.0751218,1 2 5
p03,AS,18,987654339,150,190,1,0.079137,1 2 5
p03,AS,19,987654340,150,190,1,0.0768216,1 2 5
p03,AS,20,987654341,150,190,1,0.0766885,1 2 5
p03,ASRank,1,987754322,150,190,1,0.0788935,1 2 5
p03,ASRank,2,987754323,150,190,1,0.0723522,1 2 5
p03,ASRank,3,987754324,150,190,1,0.0790925,1 2 5
p03,ASRank,4,987754325,150,190,1,0.0741991,1 2 5
p03,ASRank,5,987754326,150,190,1,0.077988,1 2 5
p03,ASRank,6,987754327,150,190,1,0.0763176,1 2 5
p03,ASRank,7,987754328,150,190,1,0.107101,1 2 5
p03,ASRank,8,987754329,150,190,1,0.104611,1 2 5
p03,ASRank,9,987754330,150,190,1,0.0794235,1 2 5
p03,ASRank,10,987754331,150,190,1,0.0771249,1 2 5
p03,ASRank,11,987754332,150,190,1,0.0795102,1 2 5
p03,ASRank,12,987754333,150,190,1,0.0805312,1 2 5
p03,ASRank,13,987754334,150,190,1,0.0776153,1 2 5
p03,ASRank,14,987754335,150,190,1,0.0821876,1 2 5
p03,ASRank,15,987754336,150,190,1,0.074923,1 2 5
p03,ASRank,16,987754337,150,190,1,0.0774505,1 2 5
p03,ASRank,17,987754338,150,190,1,0.078203,1 2 5
p03,ASRank,18,987754339,150,190,1,0.0745459,1 2 5
p03,ASRank,19,987754340,150,190,1,0.0787678,1 2 5
p03,ASRank,20,987754341,150,190,1,0.0747019,1 2 5
p03,MMAS,1,987854322,150,190,1,0.0777543,1 2 5
p03,MMAS,2,987854323,150,190,1,0.0721854,1 2 5
p03,MMAS,3,987854324,150,190,1,0.0782626,1 2 5
p03,MMAS,4,987854325,150,190,1,0.0802095,1 2 5
p03,MMAS,5,987854326,150,190,1,0.072263,1 2 5
p03,MMAS,6,987854327,150,190,1,0.0804832,1 2 5
p03,MMAS,7,987854328,150,190,1,0.0749337,1 2 5
p03,MMAS,8,987854329,150,190,1,0.0775147,1 2 5
p03,MMAS,9,987854330,150,190,1,0.0768321,1 2 5
p03,MMAS,10,987854331,150,190,1,0.0742968,1 2 5
p03,MMAS,11,987854332,150,190,1,0.0746345,1 2 5
