instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_300\test.in,AS,0,0,1,0.000432,0.00043523,1.08603e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_300\test.in,ASRank,0,0,1,0.0006784,0.000603265,3.5993e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_300\test.in,MMAS,0,0,1,0.0003457,0.00033779,9.59407e-06,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_300\test.in,ACS,0,0,1,0.000104,0.000104755,1.03287e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_100\test.in,AS,0,0,1,0.0003394,0.000326825,3.24862e-06,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_100\test.in,ASRank,0,0,1,0.0005137,0.000537885,4.47432e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_100\test.in,MMAS,0,0,1,0.0003566,0.00036604,3.52157e-06,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_100\test.in,ACS,0,0,1,0.0001212,0.00011809,2.11583e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_200\test.in,AS,0,0,1,0.0004017,0.00036437,1.77803e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_200\test.in,ASRank,0,0,1,0.0005195,0.00051904,2.25905e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_200\test.in,MMAS,0,0,1,0.0003324,0.00034719,4.3755e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_200\test.in,ACS,0,0,1,0.0001249,0.000110095,1.48328e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_300\test.in,AS,0,0,1,0.0003655,0.000368475,1.89643e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_14_f_0.1_eps_0.0001_s_300\test.in,ASRank,0,0,1,0.0005803,0.00060016,1.27285e-05,0,0,112346
