instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p06.txt,1,MMAS,1735,169,1,0.0108705,0.0162547,0.00330767,0,0,312365
p06.txt,1,ACS,1682,166,1,0.0109778,0.0125035,0.00739076,0,0,412360
p07.txt,1,AS,1458,749,1,0.0393377,0.0717982,0.0153941,0,0,112349
p07.txt,1,ASRank,1458,749,1,0.0510043,0.0834346,0.0253182,0,0,212359
p07.txt,1,MMAS,1458,749,1,0.0503946,0.0680001,0.0134057,0,0,312361
p07.txt,1,ACS,1458,749,1,0.0526767,0.0783457,0.0137268,0,0,412352
p08.txt,1,AS,13549094,6402560,1,0.164772,0.205074,0.0324718,0,0,112353
p08.txt,1,ASRank,13549094,6402560,1,0.156682,0.189186,0.0161447,0,0,212352
p08.txt,1,MMAS,13549094,6402560,1,0.161081,0.181017,0.0203795,0,0,312360
p08.txt,1,ACS,13509694,6390248,1,0.154107,0.179157,0.0433963,0,0,412352
p01.txt,1,AS,309,165,1,0.0181621,0.0332998,0.0142978,0,0,112356
p01.txt,1,ASRank,309,165,1,0.0206699,0.028612,0.010225,0,0,212363
p01.txt,1,MMAS,309,165,1,0.0191437,0.0298463,0.0166047,0,0,312351
p01.txt,1,ACS,309,165,1,0.0189285,0.0255425,0.00571272,0,0,412359
p02.txt,1,AS,51,26,1,0.0094179,0.0103325,0.00155497,0,0,112357
p02.txt,1,ASRank,51,26,1,0.0116525,0.0158101,0.00133152,0,0,212352
p02.txt,1,MMAS,51,26,1,0.0095448,0.0137631,0.00429571,0,0,312363
p02.txt,1,ACS,51,26,1,0.0093632,0.0150044,0.00311602,0,0,412346
p03.txt,1,AS,150,190,1,0.0109545,0.0150679,0.00261458,0,0,112361
p03.txt,1,ASRank,150,190,1,0.0110134,0.0163,0.00620372,0,0,212365
p03.txt,1,MMAS,150,190,1,0.011392,0.01596,0.00260272,0,0,312346
p03.txt,1,ACS,150,190,1,0.0119139,0.0154931,0.00210904,0,0,412361
p04.txt,1,AS,107,50,1,0.0145888,0.0228673,0.00553893,0,0,112364
p04.txt,1,ASRank,107,50,1,0.0099647,0.0150069,0.0045734,0,0,212352
p04.txt,1,MMAS,107,50,1,0.0103542,0.0178,0.00664283,0,0,312354
p04.txt,1,ACS,107,50,1,0.0081103,0.0111646,0.00719072,0,0,412359
